Gene symbol,G0,G1,G2,G3a,G4,G5a,G5b,G5c,G3b,,Top2a,Gene symbol,Mono,DC,B,T
Gm29570,0,0,0,0,0,0,0,0,0,,S100b,Gm29570,0,0,0,0
Tram1,1.017740896,1.293182896,0.931694684,0.696383289,0.429238474,0.607145397,0.813957194,0.606820594,0.608500906,,Prkcd,Tram1,1.860020412,3.327939922,1.856492794,1.239553578
Lactb2,0.117666877,0.12584436,0.076755003,0.053652378,0.031822717,0.020397852,0.011620556,0.040285269,0.099677553,,Khdc1b,Lactb2,0.117130888,0.130846359,0.069577033,0.130437004
Xkr9,0,0,0,0,0,0,0,0,0,,Pik3cb,Xkr9,0,0,0,0
Eya1,0.227441972,0.027621168,0,0.003651352,0.000358861,0.000906128,0,0,0,,Aldh1a1,Eya1,0.001952235,0.143306598,0.07993091,0.001825452
Gm9947,0,0,0,0,0,0,0,0,0,,Pdgfrb,Gm9947,0,0,0,0.000994285
Msc,0,0,0,0,0,0,0,0,0,,Ect2,Msc,0.000348648,0,0.005559216,0
Trpa1,0,0,0,0,0,0,0,0,0,,Eif2ak2,Trpa1,0,0.012982532,0.001203928,0
Kcnb2,0,0,0,0,0.001975921,0,0,0,0,,Egr1,Kcnb2,0,0,0,0
Terf1,0.265092271,0.212082649,0.194934775,0.050518798,0.041347167,0.051357878,0.082916935,0.033152908,0.016621086,,Egln1,Terf1,0.235507398,0.247138088,0.398230856,0.307201684
Sbspon,0.004099966,0.000594944,0,0,0,0,0,0,0,,Dusp1,Sbspon,0,0.015053605,0,0
4930444P10Rik,0,0.000861508,0.001344869,0.00054169,0,0,0.003774645,0.006750371,0,,Itm2c,4930444P10Rik,0.000896933,0.00196084,0.001191382,0.000531946
Rpl7,34.88011035,30.97351953,7.576273879,4.711992389,3.75929719,4.071017378,5.405234375,4.274330879,6.145855728,,Cck,Rpl7,18.38356751,19.83022477,22.98417508,26.95747687
Rdh10,0.029963738,0.031553807,0.032770594,0.032417035,0.009806071,0.029910163,0.026775584,0.025707777,0.044288492,,Akr1c18,Rdh10,0.074200322,0.025414014,0.032934578,0.029597146
Gm28095,0,0,0,0,0,0,0,0,0,,Fam72a,Gm28095,0,0,0,0
Stau2,0.092823387,0.02009168,0.008421971,0.002360248,0.001533368,0.000946246,0,0,0,,Pdcd4,Stau2,0.005988951,0.058262568,0.04703713,0.000480196
Gm7568,0,0,0,0,0,0,0,0,0,,Unc5c,Gm7568,0,0,0,0
Ube2w,0.19031338,0.420171722,0.284851118,0.296622192,0.299269607,0.454462037,0.582723541,0.395994622,0.219358405,,Nqo1,Ube2w,0.481118811,0.467603059,0.578642184,0.260473643
